OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
59,1,0.016191185,2.8545845,1.9570681,1.289903,0.837518,1.0189182,-1.32943172,-1.428141,1.954047026,-1.792283646,-118.6842606,34.19605297,1.5959048,0.15,0.239999971,0.876195646,0.090090327,0.166549,1.2643212,0.707796,0.0335741,21.0064,0.48,36,0.300961,0.3881727,0.1921657,0.1508437,0.8916783,0.9191609,0.9426758,0.9110886
60,1,0.016297698,2.8545845,1.9570681,1.289903,2.6639924,1.298568,0.63084009,-0.3123,0.258534296,-0.065746749,-118.6881897,34.32132194,0.6808639,0.4,0.719999971,0.461866725,0.572493565,0.9397259,1.0628572,1.1547459,1.6518499,11.0739,0.72,56,0.504663,0.9838572,0.9957813,0.9825704,0.9865203,0.8988944,0.9694688,0.9765693
61,1,0.016466975,2.8545845,1.335148,1.289903,2.6639924,0.6437082,1.610975994,1.1382933,-0.797642535,0.517930567,-118.5457578,34.30701061,0.0553545,0.725,0.959999971,0.203770989,0.735575992,1.2932247,0.9155879,1.2530659,1.6518499,4.8867,0.84,82,0.573527,0.8901232,0.8183192,0.9646682,0.8511946,0.8418422,0.5604528,0.4422587
62,1,0.016630292,1.3505726,1.335148,1.0484922,0.837518,1.2945342,-1.166075736,-1.2049729,1.809000244,-2.018299261,-118.5700612,34.14875844,1.5959048,0.2,0.279999971,0.840750866,0.026940408,0.166549,1.2643212,0.707796,0.2272355,20.1567,0.5,40,0.274295,0.7815974,0.7438355,0.3917408,0.6865417,0.7123858,0.8227366,0.6993074
63,1,0.016749084,9.1183329,1.9570681,0.9781319,2.6639924,1.4390537,0.794196074,-0.3123,0.195049656,-0.033487864,-118.6827943,34.32031301,0.6808639,0.4,0.759999971,0.446353116,0.581506862,0.9397259,1.0628572,1.1547459,1.6518499,10.702,0.74,56,0.508469,0.9930978,0.9981961,0.9908879,0.9951649,0.962709,0.9888268,0.9905944
64,1,0.01687187,2.8545845,1.9570681,1.0484922,1.7059875,1.4390537,-0.676007783,-0.4238842,0.398391691,0.00306825,-118.7131369,34.34935057,1.5959048,0.375,0.399999971,0.496043386,0.591720828,0.9397259,1.0941976,1.1547459,1.6518499,11.8932,0.56,54,0.512782,0.961022,0.992332,0.9603422,0.9856846,0.9802954,0.9646,0.9712794
65,1,0.01690644,1.3505726,0.4474685,1.0484922,0.837518,1.2945342,-1.492787704,-0.5354682,0.025302074,0.505157541,-118.6931481,34.41449264,1.5959048,0.35,0.199999971,0.404872252,0.732007143,1.3560724,1.2643212,1.1547459,1.6518499,9.7076,0.46,52,0.57202,0.6967778,0.9282424,0.4121701,0.8554497,0.4840057,0.238304,0.0767038
66,1,0.016988695,5.0127993,0.6591374,1.289903,0.837518,0.5656102,0.957552058,1.3614615,-1.563998926,1.367196998,-118.5801786,34.37422566,1.5959048,0.775,0.799999971,0.016498071,0.972865376,1.2932247,1.0628572,1.2530659,1.3733321,0.3973,0.76,86,0.673726,0.8867536,0.8663427,0.8673813,0.9233671,0.861165,0.6283161,0.2309418
67,1,0.017191648,2.8545845,1.9570681,0.9781319,2.6639924,1.298568,0.140772137,1.0267092,-0.760292604,0.823457639,-118.6451702,34.36806058,1.5959048,0.7,0.599999971,0.212898114,0.820941818,1.3560724,0.7828309,1.2530659,1.3733321,5.1055,0.66,80,0.609574,0.990897,0.9878835,0.9907239,0.9925421,0.9918455,0.9451116,0.8662267
68,1,0.017675161,5.0127993,0.6591374,0.5590755,0.837518,0.6437082,1.44762001,-0.2007159,-0.04419133,-0.119381596,-118.614929,34.29265855,0.6808639,0.425,0.919999971,0.387890293,0.557507715,1.3560724,0.9155879,1.1547459,0.5332748,9.3005,0.82,58,0.498335,0.7476279,0.9459868,0.9271693,0.9061918,0.7302715,0.3402903,0.5144961
